Date,Close,R
26/05/2011,54.8,0.011193804
25/05/2011,54.19,0.012440974
24/05/2011,53.52,-0.011887213
23/05/2011,54.16,-0.009006586
20/05/2011,54.65,-0.010557069
19/05/2011,55.23,-0.000181045
18/05/2011,55.24,0.016058739
17/05/2011,54.36,-0.004405293
16/05/2011,54.6,-0.00820798
13/05/2011,55.05,0.028747143
12/05/2011,53.49,0.002620743
11/05/2011,53.35,-0.005234635
10/05/2011,53.63,0.012760541
09/05/2011,52.95,0.007963637
06/05/2011,52.53,-0.000951384
05/05/2011,52.58,0.001332192
04/05/2011,52.51,-0.016619835
03/05/2011,53.39,-0.00429867
02/05/2011,53.62,0.002240479
29/04/2011,53.5,-0.01022789
28/04/2011,54.05,0.008360476
27/04/2011,53.6,0.012012156
26/04/2011,52.96,0.048355968
25/04/2011,50.46,-0.013190466
21/04/2011,51.13,0.010617481
20/04/2011,50.59,0.013933346
19/04/2011,49.89,0.006031381
18/04/2011,49.59,-0.027251811
15/04/2011,50.96,0.016221919
14/04/2011,50.14,-0.000996711
13/04/2011,50.19,-0.008135773
12/04/2011,50.6,0.012528751
11/04/2011,49.97,0.005015559
08/04/2011,49.72,-0.023259174
07/04/2011,50.89,-0.007829361
06/04/2011,51.29,0.003319991
05/04/2011,51.12,0.013787888
04/04/2011,50.42,-0.004748723
01/04/2011,50.66,0.001185068
31/03/2011,50.6,0.008335035
30/03/2011,50.18,0.006598045
29/03/2011,49.85,0.010080731
28/03/2011,49.35,-0.006060625
25/03/2011,49.65,0.009714709
24/03/2011,49.17,0.006938803
23/03/2011,48.83,0.002255255
22/03/2011,48.72,-0.013860801
21/03/2011,49.4,0.032715602
18/03/2011,47.81,0.012629088
17/03/2011,47.21,0.000847637
16/03/2011,47.17,-0.01389496
15/03/2011,47.83,0.013259165
14/03/2011,47.2,-0.013677225
11/03/2011,47.85,0.007762548
10/03/2011,47.48,-0.018364456
09/03/2011,48.36,-0.00206569
08/03/2011,48.46,0.029953019
07/03/2011,47.03,-0.021664534
04/03/2011,48.06,-0.012818038
03/03/2011,48.68,0.038103835
02/03/2011,46.86,0.00771212
01/03/2011,46.5,-0.028200745
28/02/2011,47.83,0.007555125
25/02/2011,47.47,0.013146924
24/02/2011,46.85,-0.000426803
23/02/2011,46.87,-0.020693306
22/02/2011,47.85,-0.032081715
18/02/2011,49.41,-0.001415715
17/02/2011,49.48,0.00465918
16/02/2011,49.25,0.016996416
15/02/2011,48.42,-0.011294914
14/02/2011,48.97,-0.006919035
11/02/2011,49.31,-0.010088867
10/02/2011,49.81,0.009683352
09/02/2011,49.33,-0.009482569
